序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
0,接收,10:30:02.872.0,0x00000211,标准帧,数据帧,0x08,16 4A 13 01 E3 03 6F C1 ,
1,接收,10:30:02.872.0,0x00000212,标准帧,数据帧,0x08,00 00 70 00 00 00 00 70 ,
2,接收,10:30:02.872.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 88 A0 ,
3,接收,10:30:02.872.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 70 66 ,
4,接收,10:30:02.872.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 18 00 64 ,
5,接收,10:30:02.872.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 08 08 ,
6,接收,10:30:02.872.0,0x00000211,标准帧,数据帧,0x08,16 4A 12 01 E3 03 70 DF ,
7,接收,10:30:02.872.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0B 00 C8 E7 ,
8,接收,10:30:02.872.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 18 19 ,
9,接收,10:30:02.872.0,0x00000402,标准帧,数据帧,0x08,20 3D C5 04 0B 04 0D A7 ,
10,接收,10:30:02.872.0,0x00000212,标准帧,数据帧,0x08,00 00 71 00 00 00 00 71 ,
11,接收,10:30:02.887.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 89 A1 ,
12,接收,10:30:02.887.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 71 67 ,
13,接收,10:30:02.887.0,0x00000215,标准帧,数据帧,0x08,69 64 14 02 9D 04 3F 3F ,
14,接收,10:30:02.887.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
15,接收,10:30:02.887.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 09 09 ,
16,接收,10:30:02.887.0,0x00000211,标准帧,数据帧,0x08,16 4A 18 01 E3 03 71 D4 ,
17,接收,10:30:02.887.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
18,接收,10:30:02.887.0,0x00000241,标准帧,数据帧,0x08,42 10 42 00 10 02 08 00 ,
19,接收,10:30:02.887.0,0x00000212,标准帧,数据帧,0x08,00 00 72 00 00 00 00 72 ,
20,接收,10:30:02.887.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8A A2 ,
21,接收,10:30:02.887.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 72 64 ,
22,接收,10:30:02.887.0,0x00000216,标准帧,数据帧,0x08,0E 01 00 00 00 00 FF FF ,
23,接收,10:30:02.887.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
24,接收,10:30:02.887.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
25,接收,10:30:02.887.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 19 00 28 ,
26,接收,10:30:02.887.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0A 0A ,
27,接收,10:30:02.887.0,0x00000211,标准帧,数据帧,0x08,16 4A 1C 01 E3 03 72 D3 ,
28,接收,10:30:02.887.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0B 00 C8 E7 ,
29,接收,10:30:02.903.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 19 18 ,
30,接收,10:30:02.903.0,0x00000402,标准帧,数据帧,0x08,20 3D C6 04 0B 04 0D A8 ,
31,接收,10:30:02.903.0,0x00000212,标准帧,数据帧,0x08,00 00 73 00 00 00 00 73 ,
32,接收,10:30:02.903.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8B A3 ,
33,接收,10:30:02.903.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 73 65 ,
34,接收,10:30:02.903.0,0x00000281,标准帧,数据帧,0x08,75 02 3A 01 00 00 00 00 ,
35,接收,10:30:02.903.0,0x00000217,标准帧,数据帧,0x08,09 00 00 00 00 00 92 00 ,
36,接收,10:30:02.903.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0B 0B ,
37,接收,10:30:02.903.0,0x00000211,标准帧,数据帧,0x08,16 4A 1C 01 E3 03 73 D2 ,
38,接收,10:30:02.903.0,0x00000212,标准帧,数据帧,0x08,00 00 74 00 00 00 00 74 ,
39,接收,10:30:02.903.0,0x00000401,标准帧,数据帧,0x08,20 80 00 04 0D 55 00 FC ,
40,接收,10:30:02.903.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8C A4 ,
41,接收,10:30:02.919.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 74 62 ,
42,接收,10:30:02.919.0,0x00000218,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
43,接收,10:30:02.919.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
44,接收,10:30:02.919.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0C 0C ,
45,接收,10:30:02.919.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1A 00 FC ,
46,接收,10:30:02.919.0,0x00000211,标准帧,数据帧,0x08,16 4A 1F 01 E3 03 74 D6 ,
47,接收,10:30:02.919.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0A 00 C8 E6 ,
48,接收,10:30:02.919.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1A 1B ,
49,接收,10:30:02.919.0,0x00000402,标准帧,数据帧,0x08,20 3D C7 04 0A 04 0D A9 ,
50,接收,10:30:02.919.0,0x00000212,标准帧,数据帧,0x08,00 00 75 00 00 00 00 75 ,
51,接收,10:30:02.919.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8D A5 ,
52,接收,10:30:02.919.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 75 63 ,
53,接收,10:30:02.919.0,0x00000219,标准帧,数据帧,0x08,01 02 EF 0C ED 0C EF 0C ,
54,接收,10:30:02.919.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0D 0D ,
55,接收,10:30:02.919.0,0x00000211,标准帧,数据帧,0x08,16 4A 24 01 E3 03 75 EC ,
56,接收,10:30:02.919.0,0x00000212,标准帧,数据帧,0x08,00 00 76 00 00 00 00 76 ,
57,接收,10:30:02.935.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8E A6 ,
58,接收,10:30:02.935.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 76 60 ,
59,接收,10:30:02.935.0,0x00000220,标准帧,数据帧,0x08,01 02 3F 00 FF 00 FF 00 ,
60,接收,10:30:02.935.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
61,接收,10:30:02.935.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
62,接收,10:30:02.935.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1B 00 B0 ,
63,接收,10:30:02.935.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0E 0E ,
64,接收,10:30:02.935.0,0x00000211,标准帧,数据帧,0x08,16 4A 28 01 E3 03 76 E3 ,
65,接收,10:30:02.935.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0A 00 C8 E6 ,
66,接收,10:30:02.935.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1B 1A ,
67,接收,10:30:02.935.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
68,接收,10:30:02.935.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
69,接收,10:30:02.935.0,0x00000402,标准帧,数据帧,0x08,20 3D C8 04 0A 04 0D AA ,
70,接收,10:30:02.935.0,0x00000212,标准帧,数据帧,0x08,00 00 77 00 00 00 00 77 ,
71,接收,10:30:02.935.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8F A7 ,
72,接收,10:30:02.935.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 77 61 ,
73,接收,10:30:02.950.0,0x00000221,标准帧,数据帧,0x08,01 01 0F 04 14 02 00 00 ,
74,接收,10:30:02.950.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
75,接收,10:30:02.950.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0F 0F ,
76,接收,10:30:02.950.0,0x00000211,标准帧,数据帧,0x08,16 4A 25 01 E3 03 77 EF ,
77,接收,10:30:02.950.0,0x00000212,标准帧,数据帧,0x08,00 00 78 00 00 00 00 78 ,
78,接收,10:30:02.950.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 80 A8 ,
79,接收,10:30:02.950.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 78 6E ,
80,接收,10:30:02.950.0,0x00000281,标准帧,数据帧,0x08,99 02 3A 01 00 00 00 00 ,
81,接收,10:30:02.950.0,0x00000222,标准帧,数据帧,0x08,00 00 5C 2C 01 05 00 00 ,
82,接收,10:30:02.950.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1C 00 49 ,
83,接收,10:30:02.950.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
84,接收,10:30:02.950.0,0x00000211,标准帧,数据帧,0x08,16 4A 1C 01 E3 03 78 D9 ,
85,接收,10:30:02.950.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 09 00 C8 E5 ,
86,接收,10:30:02.950.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1C 1D ,
87,接收,10:30:02.950.0,0x00000402,标准帧,数据帧,0x08,20 3D C9 04 09 04 0C AB ,
88,接收,10:30:02.950.0,0x00000212,标准帧,数据帧,0x08,00 00 79 00 00 00 00 79 ,
89,接收,10:30:02.965.0,0x00000401,标准帧,数据帧,0x08,20 84 00 04 0C 55 00 F9 ,
90,接收,10:30:02.965.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 81 A9 ,
91,接收,10:30:02.965.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 79 6F ,
92,接收,10:30:02.965.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 01 01 ,
93,接收,10:30:02.965.0,0x00000211,标准帧,数据帧,0x08,16 4A 18 01 E3 03 79 DC ,
94,接收,10:30:02.965.0,0x00000212,标准帧,数据帧,0x08,00 00 7A 00 00 00 00 7A ,
95,接收,10:30:02.965.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 82 AA ,
96,接收,10:30:02.965.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7A 6C ,
97,接收,10:30:02.981.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
98,接收,10:30:02.981.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
99,接收,10:30:02.981.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1D 00 05 ,
100,接收,10:30:02.981.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 02 02 ,
101,接收,10:30:02.981.0,0x00000211,标准帧,数据帧,0x08,16 4A 1D 01 E3 03 7A DA ,
102,接收,10:30:02.981.0,0x00000241,标准帧,数据帧,0x08,42 10 42 00 10 02 08 00 ,
103,接收,10:30:02.981.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 09 00 C8 E5 ,
104,接收,10:30:02.981.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1D 1C ,
105,接收,10:30:02.981.0,0x00000402,标准帧,数据帧,0x08,20 3D CA 04 09 04 0C AC ,
106,接收,10:30:02.981.0,0x00000212,标准帧,数据帧,0x08,00 00 7B 00 00 00 00 7B ,
107,接收,10:30:02.981.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 83 AB ,
108,接收,10:30:02.981.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7B 6D ,
109,接收,10:30:02.981.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
110,接收,10:30:02.981.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 03 03 ,
111,接收,10:30:02.981.0,0x00000211,标准帧,数据帧,0x08,16 4A 22 01 E3 03 7B E4 ,
112,接收,10:30:02.981.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
113,接收,10:30:02.981.0,0x00000212,标准帧,数据帧,0x08,00 00 7C 00 00 00 00 7C ,
114,接收,10:30:02.996.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 84 AC ,
115,接收,10:30:02.996.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7C 6A ,
116,接收,10:30:02.996.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1E 00 D1 ,
117,接收,10:30:02.996.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 04 04 ,
118,接收,10:30:02.996.0,0x00000211,标准帧,数据帧,0x08,16 4A 23 01 E3 03 7C E2 ,
119,接收,10:30:02.996.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 09 00 C8 E5 ,
120,接收,10:30:02.996.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1E 1F ,
121,接收,10:30:02.996.0,0x00000402,标准帧,数据帧,0x08,20 3D CB 04 09 04 0B AD ,
122,接收,10:30:02.996.0,0x00000212,标准帧,数据帧,0x08,00 00 7D 00 00 00 00 7D ,
123,接收,10:30:02.996.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 85 AD ,
124,接收,10:30:02.996.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7D 6B ,
125,接收,10:30:02.996.0,0x00000281,标准帧,数据帧,0x08,8B 02 3A 01 00 00 00 00 ,
126,接收,10:30:03.012.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
127,接收,10:30:03.012.0,0x00000211,标准帧,数据帧,0x08,16 4A 25 01 E3 03 7D E5 ,
128,接收,10:30:03.012.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 05 05 ,
129,接收,10:30:03.012.0,0x00000212,标准帧,数据帧,0x08,00 00 7E 00 00 00 00 7E ,
130,接收,10:30:03.012.0,0x00000401,标准帧,数据帧,0x08,20 7E 00 04 0B 55 00 04 ,
131,接收,10:30:03.012.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 86 AE ,
132,接收,10:30:03.012.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7E 68 ,
133,接收,10:30:03.012.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
134,接收,10:30:03.012.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
135,接收,10:30:03.012.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1F 00 9D ,
136,接收,10:30:03.012.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 06 06 ,
137,接收,10:30:03.012.0,0x00000211,标准帧,数据帧,0x08,16 4A 2C 01 E3 03 7E EF ,
138,接收,10:30:03.012.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 09 00 C8 E5 ,
139,接收,10:30:03.012.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1F 1E ,
140,接收,10:30:03.012.0,0x00000402,标准帧,数据帧,0x08,20 3D CC 04 09 04 0A AE ,
141,接收,10:30:03.012.0,0x00000212,标准帧,数据帧,0x08,00 00 7F 00 00 00 00 7F ,
142,接收,10:30:03.012.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 87 AF ,
143,接收,10:30:03.028.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7F 69 ,
144,接收,10:30:03.028.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 07 07 ,
145,接收,10:30:03.028.0,0x00000211,标准帧,数据帧,0x08,16 4A 32 01 DB 03 7F C8 ,
146,接收,10:30:03.028.0,0x00000212,标准帧,数据帧,0x08,00 00 80 00 00 00 00 80 ,
147,接收,10:30:03.028.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 88 A0 ,
148,接收,10:30:03.028.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 80 96 ,
149,接收,10:30:03.028.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 20 00 FF ,
150,接收,10:30:03.028.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 08 08 ,
151,接收,10:30:03.028.0,0x00000211,标准帧,数据帧,0x08,16 4A 31 01 DB 03 80 34 ,
152,接收,10:30:03.028.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 08 00 C8 E4 ,
153,接收,10:30:03.028.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 20 21 ,
154,接收,10:30:03.028.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
155,接收,10:30:03.028.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
156,接收,10:30:03.028.0,0x00000402,标准帧,数据帧,0x08,20 3D CD 04 08 04 0A AF ,
157,接收,10:30:03.028.0,0x00000212,标准帧,数据帧,0x08,00 00 81 00 00 00 00 81 ,
158,接收,10:30:03.044.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 89 A1 ,
159,接收,10:30:03.044.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 81 97 ,
160,接收,10:30:03.044.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 09 09 ,
161,接收,10:30:03.044.0,0x00000211,标准帧,数据帧,0x08,16 4A 29 01 DB 03 81 2D ,
162,接收,10:30:03.044.0,0x00000212,标准帧,数据帧,0x08,00 00 82 00 00 00 00 82 ,
163,接收,10:30:03.044.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8A A2 ,
164,接收,10:30:03.060.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 82 94 ,
165,接收,10:30:03.060.0,0x00000281,标准帧,数据帧,0x08,AD 02 3A 01 00 00 00 00 ,
166,接收,10:30:03.060.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
167,接收,10:30:03.060.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
168,接收,10:30:03.060.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 21 00 B3 ,
169,接收,10:30:03.060.0,0x00000211,标准帧,数据帧,0x08,16 4A 21 01 DB 03 82 26 ,
170,接收,10:30:03.060.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0A 0A ,
171,接收,10:30:03.060.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 07 00 C8 EB ,
172,接收,10:30:03.060.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 21 20 ,
173,接收,10:30:03.060.0,0x00000402,标准帧,数据帧,0x08,20 3D CE 04 07 04 0A B0 ,
174,接收,10:30:03.060.0,0x00000212,标准帧,数据帧,0x08,00 00 83 00 00 00 00 83 ,
175,接收,10:30:03.060.0,0x00000401,标准帧,数据帧,0x08,20 82 00 04 0A 55 00 F9 ,
176,接收,10:30:03.060.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8B A3 ,
177,接收,10:30:03.060.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 83 95 ,
178,接收,10:30:03.060.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
179,接收,10:30:03.060.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0B 0B ,
180,接收,10:30:03.060.0,0x00000211,标准帧,数据帧,0x08,16 4A 26 01 DB 03 83 20 ,
181,接收,10:30:03.060.0,0x00000212,标准帧,数据帧,0x08,00 00 84 00 00 00 00 84 ,
182,接收,10:30:03.075.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8C A4 ,
183,接收,10:30:03.075.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 84 92 ,
184,接收,10:30:03.075.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 22 00 67 ,
185,接收,10:30:03.075.0,0x00000211,标准帧,数据帧,0x08,16 4A 2B 01 DB 03 84 2A ,
186,接收,10:30:03.075.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0C 0C ,
187,接收,10:30:03.075.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 05 00 C8 E9 ,
188,接收,10:30:03.075.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 22 23 ,
189,接收,10:30:03.075.0,0x00000402,标准帧,数据帧,0x08,20 3D CF 04 05 04 0A B1 ,
190,接收,10:30:03.075.0,0x00000212,标准帧,数据帧,0x08,00 00 85 00 00 00 00 85 ,
191,接收,10:30:03.075.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8D A5 ,
192,接收,10:30:03.075.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 85 93 ,
193,接收,10:30:03.092.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
194,接收,10:30:03.092.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0D 0D ,
195,接收,10:30:03.092.0,0x00000211,标准帧,数据帧,0x08,16 4A 2E 01 DB 03 85 2E ,
196,接收,10:30:03.092.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
197,接收,10:30:03.092.0,0x00000212,标准帧,数据帧,0x08,00 00 86 00 00 00 00 86 ,
198,接收,10:30:03.092.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8E A6 ,
199,接收,10:30:03.092.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 86 90 ,
200,接收,10:30:03.092.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
201,接收,10:30:03.092.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
202,接收,10:30:03.092.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 23 00 2B ,
203,接收,10:30:03.092.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0E 0E ,
204,接收,10:30:03.092.0,0x00000211,标准帧,数据帧,0x08,16 4A 30 01 DB 03 86 33 ,
205,接收,10:30:03.092.0,0x00000241,标准帧,数据帧,0x08,42 10 42 00 10 02 08 00 ,
206,接收,10:30:03.092.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 02 00 C8 EE ,
207,接收,10:30:03.092.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 23 22 ,
208,接收,10:30:03.092.0,0x00000402,标准帧,数据帧,0x08,20 3D D0 04 02 04 09 B2 ,
209,接收,10:30:03.092.0,0x00000212,标准帧,数据帧,0x08,00 00 87 00 00 00 00 87 ,
210,接收,10:30:03.092.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8F A7 ,
211,接收,10:30:03.106.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 87 91 ,
212,接收,10:30:03.106.0,0x00000281,标准帧,数据帧,0x08,A6 02 3A 01 00 00 00 00 ,
213,接收,10:30:03.106.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0F 0F ,
214,接收,10:30:03.106.0,0x00000211,标准帧,数据帧,0x08,16 4A 35 01 DB 03 87 37 ,
215,接收,10:30:03.106.0,0x00000212,标准帧,数据帧,0x08,00 00 88 00 00 00 00 88 ,
216,接收,10:30:03.106.0,0x00000401,标准帧,数据帧,0x08,20 88 00 04 09 55 00 F0 ,
217,接收,10:30:03.106.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 80 A8 ,
218,接收,10:30:03.106.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 88 9E ,
219,接收,10:30:03.122.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 24 00 D2 ,
220,接收,10:30:03.122.0,0x00000211,标准帧,数据帧,0x08,16 4A 3B 01 DB 03 88 36 ,
221,接收,10:30:03.122.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
222,接收,10:30:03.122.0,0x00000469,标准帧,数据帧,0x08,20 00 00 03 FF 00 C8 14 ,
223,接收,10:30:03.122.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 24 25 ,
224,接收,10:30:03.122.0,0x00000402,标准帧,数据帧,0x08,20 3D D1 03 FF 04 08 B3 ,
225,接收,10:30:03.122.0,0x00000212,标准帧,数据帧,0x08,00 00 89 00 00 00 00 89 ,
226,接收,10:30:03.122.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 81 A9 ,
227,接收,10:30:03.122.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 89 9F ,
228,接收,10:30:03.122.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
229,接收,10:30:03.122.0,0x00000211,标准帧,数据帧,0x08,16 4A 38 01 DB 03 89 34 ,
230,接收,10:30:03.122.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 01 01 ,
231,接收,10:30:03.122.0,0x00000212,标准帧,数据帧,0x08,00 00 8A 00 00 00 00 8A ,
232,接收,10:30:03.122.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 82 AA ,
233,接收,10:30:03.137.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 8A 9C ,
234,接收,10:30:03.137.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
235,接收,10:30:03.137.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
236,接收,10:30:03.137.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 25 00 9E ,
237,接收,10:30:03.137.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 02 02 ,
238,接收,10:30:03.137.0,0x00000211,标准帧,数据帧,0x08,16 4A 2F 01 DB 03 8A 20 ,
239,接收,10:30:03.137.0,0x00000469,标准帧,数据帧,0x08,20 00 00 03 FD 00 C8 16 ,
240,接收,10:30:03.137.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 25 24 ,
241,接收,10:30:03.137.0,0x00000228,标准帧,数据帧,0x08,04 00 00 00 00 00 00 00 ,
242,接收,10:30:03.137.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
243,接收,10:30:03.137.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
244,接收,10:30:03.137.0,0x00000402,标准帧,数据帧,0x08,20 3D D2 03 FD 04 06 B4 ,
245,接收,10:30:03.137.0,0x00000212,标准帧,数据帧,0x08,00 00 8B 00 00 00 00 8B ,
246,接收,10:30:03.137.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 8B 9D ,
247,接收,10:30:03.137.0,0x00000211,标准帧,数据帧,0x08,16 4A 2A 01 DB 03 8B 24 ,
248,接收,10:30:03.153.0,0x00000212,标准帧,数据帧,0x08,00 00 8C 00 00 00 00 8C ,
249,接收,10:30:03.153.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 8C 9A ,
250,接收,10:30:03.153.0,0x00000281,标准帧,数据帧,0x08,A8 02 3A 01 00 00 00 00 ,
251,接收,10:30:03.153.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
252,接收,10:30:03.153.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 26 00 4A ,
